Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
female-2017,Female 2017,female-2017,,0,
female-2018,Female 2018,female-2018,,1,
female-2019,Female 2019,female-2019,,2,
female-2020,Female 2020,female-2020,,3,
female-2021,Female 2021,female-2021,,4,
female-2022,Female 2022,female-2022,,5,
male-2017,Male 2017,male-2017,,6,
male-2018,Male 2018,male-2018,,7,
male-2019,Male 2019,male-2019,,8,
male-2020,Male 2020,male-2020,,9,
male-2021,Male 2021,male-2021,,10,
male-2022,Male 2022,male-2022,,11,
not-known-2017,Not known 2017,not-known-2017,,12,
not-known-2018,Not known 2018,not-known-2018,,13,
not-known-2019,Not known 2019,not-known-2019,,14,
not-known-2020,Not known 2020,not-known-2020,,15,
not-known-2021,Not known 2021,not-known-2021,,16,
not-known-2022,Not known 2022,not-known-2022,,17,
total-2017,Total 2017,total-2017,,18,
total-2018,Total 2018,total-2018,,19,
total-2019,Total 2019,total-2019,,20,
total-2020,Total 2020,total-2020,,21,
total-2021,Total 2021,total-2021,,22,
total-2022,Total 2022,total-2022,,23,
